EmployeeSourceId,FirstName,MiddleName,LastName,FullName,WorkEmail,NationalId,CitizenshipCode,BirthDate,HireDate,TerminationDate,TerminationReasonCode,Position,Level,SupervisorId,SupervisorFirstName,SupervisorMiddleName,SupervisorLastName,SupervisorFullName,CostCenterId,Localization,EmployeeGroupId,EmployeeGroupName,DepartmentLvl1,DepartmentLvl2,DepartmentLvl3,DepartmentLvl4,DepartmentLvl5,SeniorityDays
400024,KENNETH,KATHERINE,KEY,KENNETH KATHERINE KEY,KENNETH.KEY@WORKMAIL.COM,TT,TT,19650101,20101105,,,Manager,1,400030,ANGELA,"",SWEENEY,ANGELA SWEENEY,103321,R061,E,Empleados,OPS,OPS Manager,"","","",275
400025,DEREK,"",EVANS,DEREK EVANS,DEREK.EVANS@WORKMAIL.COM,PL,PL,19430421,20210620,20251212,TERMINATION_REASON_CODE,Employee,3,400097,NICHOLE,"",MARKS,NICHOLE MARKS,103321,R061,E,Empleados,OPS,OPS Crew,"","","",5530
400026,MARK,"",MARTINEZ,MARK MARTINEZ,MARK.MARTINEZ@WORKMAIL.COM,TR,TR,19611109,20120427,,,Manager,2,400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,103667,R034,E,Empleados,RST,RST,"","","",13641
400027,DAVID,"",WATSON,DAVID WATSON,DAVID.WATSON@WORKMAIL.COM,GL,GL,19900910,20110124,20240103,TERMINATION_REASON_CODE,Manager,4,400039,DEBBIE,"",RODRIGUEZ,DEBBIE RODRIGUEZ,103321,R034,E,Empleados,RST,RST,"","","",867
400028,DEBRA,"",MEJIA,DEBRA MEJIA,DEBRA.MEJIA@WORKMAIL.COM,CU,CU,19780324,20170914,,,Manager,4,400012,KEITH,SEAN,OCONNOR,KEITH SEAN OCONNOR,103321,R061,E,Empleados,OPS,OPS Manager,"","","",9832
400029,SHARON,DOUGLAS,HILL,SHARON DOUGLAS HILL,SHARON.HILL@WORKMAIL.COM,AU,AU,19670330,20110801,,,Manager,3,400108,CHERYL,ALEXA,THOMPSON,CHERYL ALEXA THOMPSON,103667,R021,E,Empleados,OPS,OPS Manager,"","","",17948
400030,ANGELA,"",SWEENEY,ANGELA SWEENEY,ANGELA.SWEENEY@WORKMAIL.COM,NA,NA,19751212,20170612,,,Manager,3,400029,SHARON,DOUGLAS,HILL,SHARON DOUGLAS HILL,103001,R111,E,Empleados,OPS,OPS Manager,"","","",22800
400031,RONALD,"",GRIFFITH,RONALD GRIFFITH,RONALD.GRIFFITH@WORKMAIL.COM,AQ,AQ,19720422,20231019,20240221,TERMINATION_REASON_CODE,Manager,1,400080,MATTHEW,"",REED,MATTHEW REED,103421,R021,E,Empleados,OPS,OPS Manager,"","","",24651
400032,CHLOE,"",HILL,CHLOE HILL,CHLOE.HILL@WORKMAIL.COM,TV,TV,19670527,20201114,,,Manager,2,400011,PAMELA,"",LEWIS,PAMELA LEWIS,103001,R061,E,Empleados,RST,RST,"","","",16434
400033,JOSEPH,MATTHEW,PHILLIPS,JOSEPH MATTHEW PHILLIPS,JOSEPH.PHILLIPS@WORKMAIL.COM,BT,BT,19710414,20151204,,,Manager,4,400103,KENNETH,"",MARTIN,KENNETH MARTIN,103421,R061,E,Empleados,OPS,OPS Manager,"","","",15673
400034,JAMES,"",ALI,JAMES ALI,JAMES.ALI@WORKMAIL.COM,LS,LS,19950417,20180824,,,Manager,3,400088,JANE,"",GALLEGOS,JANE GALLEGOS,103667,R111,E,Empleados,RST,RST,"","","",5411
400035,STEPHANIE,"",WALKER,STEPHANIE WALKER,STEPHANIE.WALKER@WORKMAIL.COM,KY,KY,19771005,20111207,20250205,TERMINATION_REASON_CODE,Manager,3,400014,CURTIS,"",MILLER,CURTIS MILLER,103001,R111,E,Empleados,RST,RST,"","","",23942
400036,JONATHAN,"",RHODES,JONATHAN RHODES,JONATHAN.RHODES@WORKMAIL.COM,MQ,MQ,19781022,20160727,,,Manager,1,400089,KATIE,"",WILSON,KATIE WILSON,103001,R061,E,Empleados,RST,RST,"","","",5935
400037,DAVID,"",HO,DAVID HO,DAVID.HO@WORKMAIL.COM,EC,EC,20021015,20171009,20250704,TERMINATION_REASON_CODE,Manager,2,400022,KRISTIN,"",HOWARD,KRISTIN HOWARD,103421,R111,E,Empleados,OPS,OPS Manager,"","","",15673
400038,JORGE,"",EVERETT,JORGE EVERETT,JORGE.EVERETT@WORKMAIL.COM,GU,GU,19850220,20120105,,,Intern,1,400062,LAUREN,"",KING,LAUREN KING,103001,R111,E,Empleados,OPS,OPS Crew,"","","",17389
400039,DEBBIE,"",RODRIGUEZ,DEBBIE RODRIGUEZ,DEBBIE.RODRIGUEZ@WORKMAIL.COM,MV,MV,19830317,20161124,,,Manager,3,400102,BARBARA,"",FORD,BARBARA FORD,103421,R111,E,Empleados,OPS,OPS Manager,"","","",12217
400040,MARY,"",CHARLES,MARY CHARLES,MARY.CHARLES@WORKMAIL.COM,AG,AG,20021212,20141127,,,Employee,3,400017,ZACHARY,"",KOCH,ZACHARY KOCH,103421,R111,E,Empleados,OPS,OPS Crew,"","","",5203
400041,EMILY,"",ELLISON,EMILY ELLISON,EMILY.ELLISON@WORKMAIL.COM,BT,BT,19860212,20120922,,,Manager,4,400030,ANGELA,"",SWEENEY,ANGELA SWEENEY,103001,R021,E,Empleados,RST,RST,"","","",4831
400042,ANDREW,ERIC,VALDEZ,ANDREW ERIC VALDEZ,ANDREW.VALDEZ@WORKMAIL.COM,JM,JM,19610924,20150131,,,Manager,3,400096,JASON,"",ALVAREZ,JASON ALVAREZ,103321,R021,E,Empleados,OPS,OPS Manager,"","","",21974
400043,ADAM,"",MEJIA,ADAM MEJIA,ADAM.MEJIA@WORKMAIL.COM,EG,EG,19410927,20100429,20251010,TERMINATION_REASON_CODE,Intern,1,400051,PATRICK,"",MONTOYA,PATRICK MONTOYA,103421,R034,E,Empleados,OPS,OPS Crew,"","","",7673
400044,JAMIE,"",WALKER,JAMIE WALKER,JAMIE.WALKER@WORKMAIL.COM,MW,MW,20010624,20150319,,,Manager,4,400106,JOHN,"",SMITH,JOHN SMITH,103321,R021,E,Empleados,OPS,OPS Manager,"","","",13868
400045,FREDERICK,"",GUERRERO,FREDERICK GUERRERO,FREDERICK.GUERRERO@WORKMAIL.COM,SX,SX,19720124,20211110,,,Contractor,2,400031,RONALD,"",GRIFFITH,RONALD GRIFFITH,103321,R061,E,Empleados,RST,RST,"","","",12569
400046,ROBERT,"",HALL,ROBERT HALL,ROBERT.HALL@WORKMAIL.COM,TK,TK,19780406,20180206,,,Manager,2,400023,MATTHEW,"",SCHROEDER,MATTHEW SCHROEDER,103667,R111,E,Empleados,OPS,OPS Manager,"","","",7832
400047,JENNIFER,"",GOOD,JENNIFER GOOD,JENNIFER.GOOD@WORKMAIL.COM,KH,KH,19650409,20190830,,,Manager,4,400059,BRIAN,"",MUNOZ,BRIAN MUNOZ,103421,R021,E,Empleados,RST,RST,"","","",12996
400048,MICHAEL,"",FERRELL,MICHAEL FERRELL,MICHAEL.FERRELL@WORKMAIL.COM,SG,SG,19610626,20120626,20250213,TERMINATION_REASON_CODE,Contractor,2,400047,JENNIFER,"",GOOD,JENNIFER GOOD,103321,R034,E,Empleados,OPS,OPS Crew,"","","",10020
400049,EMILY,NICHOLAS,NASH,EMILY NICHOLAS NASH,EMILY.NASH@WORKMAIL.COM,PR,PR,19440410,20110129,,,Employee,3,400101,JEREMY,"",MOORE,JEREMY MOORE,103001,R061,E,Empleados,RST,RST,"","","",20276
400050,DANA,"",MARTINEZ,DANA MARTINEZ,DANA.MARTINEZ@WORKMAIL.COM,DE,DE,19710712,20160330,,,Intern,1,400015,RACHEL,"",BAKER,RACHEL BAKER,103667,R021,E,Empleados,OPS,OPS Crew,"","","",18750
400051,PATRICK,"",MONTOYA,PATRICK MONTOYA,PATRICK.MONTOYA@WORKMAIL.COM,SO,SO,19470513,20171114,,,Manager,2,400094,ROBERT,ANTONIO,RICE,ROBERT ANTONIO RICE,103667,R021,E,Empleados,OPS,OPS Manager,"","","",14986
400052,WILLIAM,"",SALAZAR,WILLIAM SALAZAR,WILLIAM.SALAZAR@WORKMAIL.COM,BR,BR,19710907,20181024,20240109,TERMINATION_REASON_CODE,Manager,1,400055,CYNTHIA,"",LARA,CYNTHIA LARA,103321,R061,E,Empleados,OPS,OPS Manager,"","","",19331
400053,MEGAN,STEPHEN,CONNER,MEGAN STEPHEN CONNER,MEGAN.CONNER@WORKMAIL.COM,KN,KN,20060118,20211118,,,Intern,1,400095,ROBERT,"",SMITH,ROBERT SMITH,103421,R034,E,Empleados,OPS,OPS Crew,"","","",11177
400054,ALICIA,"",RODRIGUEZ,ALICIA RODRIGUEZ,ALICIA.RODRIGUEZ@WORKMAIL.COM,MF,MF,19720711,20131213,,,Manager,4,400015,RACHEL,"",BAKER,RACHEL BAKER,103667,R111,E,Empleados,OPS,OPS Manager,"","","",9817
400055,CYNTHIA,"",LARA,CYNTHIA LARA,CYNTHIA.LARA@WORKMAIL.COM,CW,CW,19611109,20100905,20241023,TERMINATION_REASON_CODE,Manager,3,400047,JENNIFER,"",GOOD,JENNIFER GOOD,103667,R111,E,Empleados,RST,RST,"","","",21693
400056,ERIC,"",SIMPSON,ERIC SIMPSON,ERIC.SIMPSON@WORKMAIL.COM,GF,GF,19860516,20220707,20250227,TERMINATION_REASON_CODE,Manager,2,400101,JEREMY,"",MOORE,JEREMY MOORE,103001,R034,E,Empleados,OPS,OPS Manager,"","","",13816
400057,CRYSTAL,"",REYNOLDS,CRYSTAL REYNOLDS,CRYSTAL.REYNOLDS@WORKMAIL.COM,MX,MX,19980123,20141231,,,Manager,1,400036,JONATHAN,"",RHODES,JONATHAN RHODES,103001,R021,E,Empleados,OPS,OPS Manager,"","","",13384
400058,CHRISTOPHER,"",WILLIAMS,CHRISTOPHER WILLIAMS,CHRISTOPHER.WILLIAMS@WORKMAIL.COM,QA,QA,19831213,20131110,,,Manager,1,400094,ROBERT,ANTONIO,RICE,ROBERT ANTONIO RICE,103421,R061,E,Empleados,OPS,OPS Manager,"","","",14415
400059,BRIAN,"",MUNOZ,BRIAN MUNOZ,BRIAN.MUNOZ@WORKMAIL.COM,BD,BD,19530319,20140604,20250817,TERMINATION_REASON_CODE,Manager,4,400009,JACOB,DEBRA,FUENTES,JACOB DEBRA FUENTES,103667,R034,E,Empleados,RST,RST,"","","",20623
400060,MELANIE,"",SMITH,MELANIE SMITH,MELANIE.SMITH@WORKMAIL.COM,MD,MD,19811029,20220817,,,Manager,1,400036,JONATHAN,"",RHODES,JONATHAN RHODES,103321,R111,E,Empleados,OPS,OPS Manager,"","","",3795
400061,DEBRA,"",SUTTON,DEBRA SUTTON,DEBRA.SUTTON@WORKMAIL.COM,FO,FO,19430726,20180717,,,Employee,3,400034,JAMES,"",ALI,JAMES ALI,103667,R111,E,Empleados,OPS,OPS Crew,"","","",4783
400062,LAUREN,"",KING,LAUREN KING,LAUREN.KING@WORKMAIL.COM,CK,CK,20050810,20100408,20250915,TERMINATION_REASON_CODE,Manager,2,400103,KENNETH,"",MARTIN,KENNETH MARTIN,103321,R111,E,Empleados,OPS,OPS Manager,"","","",6132
400063,MELODY,KIMBERLY,VASQUEZ,MELODY KIMBERLY VASQUEZ,MELODY.VASQUEZ@WORKMAIL.COM,TZ,TZ,20060509,20191222,20251128,TERMINATION_REASON_CODE,Intern,1,400046,ROBERT,"",HALL,ROBERT HALL,103001,R061,E,Empleados,OPS,OPS Crew,"","","",22641
400064,BRETT,"",MORRIS,BRETT MORRIS,BRETT.MORRIS@WORKMAIL.COM,TZ,TZ,19720911,20160502,,,Employee,3,400028,DEBRA,"",MEJIA,DEBRA MEJIA,103421,R111,E,Empleados,OPS,OPS Crew,"","","",19266
400065,TRAVIS,"",STOKES,TRAVIS STOKES,TRAVIS.STOKES@WORKMAIL.COM,PF,PF,19650323,20231220,,,Employee,3,400068,MARK,"",MASON,MARK MASON,103667,R061,E,Empleados,OPS,OPS Crew,"","","",1832
400066,WILLIAM,"",FOX,WILLIAM FOX,WILLIAM.FOX@WORKMAIL.COM,CH,CH,20070514,20221231,,,Contractor,2,400041,EMILY,"",ELLISON,EMILY ELLISON,103421,R034,E,Empleados,OPS,OPS Crew,"","","",13341
400067,LESLIE,"",TRUJILLO,LESLIE TRUJILLO,LESLIE.TRUJILLO@WORKMAIL.COM,MP,MP,19900902,20191025,,,Manager,3,400034,JAMES,"",ALI,JAMES ALI,103001,R034,E,Empleados,OPS,OPS Manager,"","","",14216
400068,MARK,"",MASON,MARK MASON,MARK.MASON@WORKMAIL.COM,CH,CH,19400219,20150425,20250202,TERMINATION_REASON_CODE,Manager,4,400089,KATIE,"",WILSON,KATIE WILSON,103667,R111,E,Empleados,RST,RST,"","","",8368
400069,NATHAN,KAYLA,MARTINEZ,NATHAN KAYLA MARTINEZ,NATHAN.MARTINEZ@WORKMAIL.COM,GS,GS,19701006,20141013,,,Manager,1,400084,CATHERINE,AMANDA,FROST,CATHERINE AMANDA FROST,103421,R111,E,Empleados,OPS,OPS Manager,"","","",5104
400070,JENNA,MICHAEL,HARRIS,JENNA MICHAEL HARRIS,JENNA.HARRIS@WORKMAIL.COM,GH,GH,19840430,20110909,,,Employee,3,400108,CHERYL,ALEXA,THOMPSON,CHERYL ALEXA THOMPSON,103321,R034,E,Empleados,RST,RST,"","","",20528
400071,JAMIE,"",HERNANDEZ,JAMIE HERNANDEZ,JAMIE.HERNANDEZ@WORKMAIL.COM,KR,KR,19500909,20121109,20250825,TERMINATION_REASON_CODE,Manager,4,400055,CYNTHIA,"",LARA,CYNTHIA LARA,103421,R061,E,Empleados,OPS,OPS Manager,"","","",19521
400072,ROBERT,DONALD,CORTEZ,ROBERT DONALD CORTEZ,ROBERT.CORTEZ@WORKMAIL.COM,FR,FR,19620108,20180505,,,Intern,1,400036,JONATHAN,"",RHODES,JONATHAN RHODES,103667,R061,E,Empleados,RST,RST,"","","",20435
400073,ERIC,"",KIM,ERIC KIM,ERIC.KIM@WORKMAIL.COM,CA,CA,19610104,20110719,,,Manager,1,400055,CYNTHIA,"",LARA,CYNTHIA LARA,103667,R021,E,Empleados,OPS,OPS Manager,"","","",13028
400074,KIMBERLY,"",LOPEZ,KIMBERLY LOPEZ,KIMBERLY.LOPEZ@WORKMAIL.COM,TK,TK,19470404,20141206,,,Employee,3,400069,NATHAN,KAYLA,MARTINEZ,NATHAN KAYLA MARTINEZ,103667,R034,E,Empleados,OPS,OPS Crew,"","","",14805
400075,BENJAMIN,"",COLLIER,BENJAMIN COLLIER,BENJAMIN.COLLIER@WORKMAIL.COM,UA,UA,19870301,20160402,,,Employee,3,400052,WILLIAM,"",SALAZAR,WILLIAM SALAZAR,103001,R034,E,Empleados,OPS,OPS Crew,"","","",12901
400076,LAURA,"",FARMER,LAURA FARMER,LAURA.FARMER@WORKMAIL.COM,EH,EH,19570727,20160404,20240919,TERMINATION_REASON_CODE,Manager,4,400021,ALISHA,"",SMITH,ALISHA SMITH,103321,R061,E,Empleados,OPS,OPS Manager,"","","",14366
400077,MONICA,"",LEWIS,MONICA LEWIS,MONICA.LEWIS@WORKMAIL.COM,BJ,BJ,19870424,20110331,20250219,TERMINATION_REASON_CODE,Manager,2,400062,LAUREN,"",KING,LAUREN KING,103667,R061,E,Empleados,OPS,OPS Manager,"","","",8545
400078,STACY,"",WOOD,STACY WOOD,STACY.WOOD@WORKMAIL.COM,NA,NA,19410128,20190224,,,Intern,1,400055,CYNTHIA,"",LARA,CYNTHIA LARA,103667,R111,E,Empleados,OPS,OPS Crew,"","","",15903
400079,EMILY,"",BURGESS,EMILY BURGESS,EMILY.BURGESS@WORKMAIL.COM,LV,LV,19650725,20220626,20250310,TERMINATION_REASON_CODE,Intern,1,400095,ROBERT,"",SMITH,ROBERT SMITH,103001,R111,E,Empleados,OPS,OPS Crew,"","","",8588
400080,MATTHEW,"",REED,MATTHEW REED,MATTHEW.REED@WORKMAIL.COM,MO,MO,19631117,20141228,,,Manager,3,400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,103001,R111,E,Empleados,OPS,OPS Manager,"","","",10249
400081,ERIC,"",ELLIS,ERIC ELLIS,ERIC.ELLIS@WORKMAIL.COM,HT,HT,19541204,20130703,,,Intern,1,400014,CURTIS,"",MILLER,CURTIS MILLER,103667,R061,E,Empleados,RST,RST,"","","",18790
400082,JESSE,"",DAVIS,JESSE DAVIS,JESSE.DAVIS@WORKMAIL.COM,TH,TH,19990404,20100727,20250222,TERMINATION_REASON_CODE,Employee,3,400010,JOSEPH,"",RIVAS,JOSEPH RIVAS,103667,R061,E,Empleados,OPS,OPS Crew,"","","",12533
400083,APRIL,"",PRICE,APRIL PRICE,APRIL.PRICE@WORKMAIL.COM,YT,YT,20021126,20100116,20240118,TERMINATION_REASON_CODE,Intern,1,400077,MONICA,"",LEWIS,MONICA LEWIS,103667,R034,E,Empleados,OPS,OPS Crew,"","","",6010
400084,CATHERINE,AMANDA,FROST,CATHERINE AMANDA FROST,CATHERINE.FROST@WORKMAIL.COM,SO,SO,20021006,20210716,20250310,TERMINATION_REASON_CODE,Manager,1,400108,CHERYL,ALEXA,THOMPSON,CHERYL ALEXA THOMPSON,103667,R061,E,Empleados,OPS,OPS Manager,"","","",19183
400085,CONNIE,MICHAEL,LIVINGSTON,CONNIE MICHAEL LIVINGSTON,CONNIE.LIVINGSTON@WORKMAIL.COM,MV,MV,19670711,20180730,,,Manager,4,400012,KEITH,SEAN,OCONNOR,KEITH SEAN OCONNOR,103421,R034,E,Empleados,OPS,OPS Manager,"","","",12090
400086,STEFANIE,"",SANCHEZ,STEFANIE SANCHEZ,STEFANIE.SANCHEZ@WORKMAIL.COM,BT,BT,19751014,20120423,,,Intern,1,400057,CRYSTAL,"",REYNOLDS,CRYSTAL REYNOLDS,103667,R111,E,Empleados,OPS,OPS Crew,"","","",16942
400087,ROBYN,"",HOGAN,ROBYN HOGAN,ROBYN.HOGAN@WORKMAIL.COM,AF,AF,19860620,20181021,,,Intern,1,400039,DEBBIE,"",RODRIGUEZ,DEBBIE RODRIGUEZ,103667,R034,E,Empleados,OPS,OPS Crew,"","","",24432
400088,JANE,"",GALLEGOS,JANE GALLEGOS,JANE.GALLEGOS@WORKMAIL.COM,YT,YT,19840307,20180704,,,Manager,4,400067,LESLIE,"",TRUJILLO,LESLIE TRUJILLO,103321,R021,E,Empleados,OPS,OPS Manager,"","","",4595
400089,KATIE,"",WILSON,KATIE WILSON,KATIE.WILSON@WORKMAIL.COM,NF,NF,19761212,20161021,,,Manager,4,400021,ALISHA,"",SMITH,ALISHA SMITH,103321,R111,E,Empleados,OPS,OPS Manager,"","","",918
400090,JASON,"",MCCOY,JASON MCCOY,JASON.MCCOY@WORKMAIL.COM,ST,ST,19940619,20180529,20241224,TERMINATION_REASON_CODE,Intern,1,400032,CHLOE,"",HILL,CHLOE HILL,103001,R061,E,Empleados,RST,RST,"","","",13937
400091,ANGELA,"",CRAWFORD,ANGELA CRAWFORD,ANGELA.CRAWFORD@WORKMAIL.COM,PK,PK,19440327,20150925,,,Manager,4,400102,BARBARA,"",FORD,BARBARA FORD,103421,R061,E,Empleados,OPS,OPS Manager,"","","",19671
400092,DENNIS,"",CRAWFORD,DENNIS CRAWFORD,DENNIS.CRAWFORD@WORKMAIL.COM,KW,KW,19961105,20120825,,,Manager,2,400024,KENNETH,KATHERINE,KEY,KENNETH KATHERINE KEY,103421,R111,E,Empleados,OPS,OPS Manager,"","","",20319
400093,SHAWN,"",JONES,SHAWN JONES,SHAWN.JONES@WORKMAIL.COM,AD,AD,19430526,20161124,,,Intern,1,400039,DEBBIE,"",RODRIGUEZ,DEBBIE RODRIGUEZ,103001,R021,E,Empleados,OPS,OPS Crew,"","","",18635
400094,ROBERT,ANTONIO,RICE,ROBERT ANTONIO RICE,ROBERT.RICE@WORKMAIL.COM,ID,ID,19720806,20230819,,,Manager,1,400056,ERIC,"",SIMPSON,ERIC SIMPSON,103421,R061,E,Empleados,OPS,OPS Manager,"","","",13480
400095,ROBERT,"",SMITH,ROBERT SMITH,ROBERT.SMITH@WORKMAIL.COM,JO,JO,19751207,20160209,20250209,TERMINATION_REASON_CODE,Manager,3,400073,ERIC,"",KIM,ERIC KIM,103321,R061,E,Empleados,OPS,OPS Manager,"","","",21482
400096,JASON,"",ALVAREZ,JASON ALVAREZ,JASON.ALVAREZ@WORKMAIL.COM,PT,PT,19480220,20190114,,,Manager,2,400052,WILLIAM,"",SALAZAR,WILLIAM SALAZAR,103001,R111,E,Empleados,RST,RST,"","","",16382
400097,NICHOLE,"",MARKS,NICHOLE MARKS,NICHOLE.MARKS@WORKMAIL.COM,BI,BI,19790705,20140814,,,Manager,4,400062,LAUREN,"",KING,LAUREN KING,103667,R061,E,Empleados,OPS,OPS Manager,"","","",10439
400098,JOSEPH,"",FORBES,JOSEPH FORBES,JOSEPH.FORBES@WORKMAIL.COM,RE,RE,19510422,20120223,,,Manager,4,400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,103321,R034,E,Empleados,OPS,OPS Manager,"","","",21970
400099,JONATHAN,"",JORDAN,JONATHAN JORDAN,JONATHAN.JORDAN@WORKMAIL.COM,ET,ET,19660815,20230128,20250830,TERMINATION_REASON_CODE,Contractor,2,400035,STEPHANIE,"",WALKER,STEPHANIE WALKER,103667,R021,E,Empleados,OPS,OPS Crew,"","","",23727
400100,MATTHEW,"",PRICE,MATTHEW PRICE,MATTHEW.PRICE@WORKMAIL.COM,CN,CN,19440817,20130415,,,Manager,4,400102,BARBARA,"",FORD,BARBARA FORD,103001,R034,E,Empleados,RST,RST,"","","",1840
400101,JEREMY,"",MOORE,JEREMY MOORE,JEREMY.MOORE@WORKMAIL.COM,ZA,ZA,19590711,20170309,,,Manager,1,400026,MARK,"",MARTINEZ,MARK MARTINEZ,103001,R034,E,Empleados,OPS,OPS Manager,"","","",19372
400102,BARBARA,"",FORD,BARBARA FORD,BARBARA.FORD@WORKMAIL.COM,QA,QA,19591202,20160108,,,Manager,2,400018,JOSE,"",WATSON,JOSE WATSON,103421,R021,E,Empleados,RST,RST,"","","",18378
400103,KENNETH,"",MARTIN,KENNETH MARTIN,KENNETH.MARTIN@WORKMAIL.COM,HM,HM,19550515,20120811,,,Manager,1,400092,DENNIS,"",CRAWFORD,DENNIS CRAWFORD,103667,R061,E,Empleados,OPS,OPS Manager,"","","",19569
400104,STACY,"",ROWE,STACY ROWE,STACY.ROWE@WORKMAIL.COM,MK,MK,19820210,20120830,20250828,TERMINATION_REASON_CODE,Manager,4,400044,JAMIE,"",WALKER,JAMIE WALKER,103421,R111,E,Empleados,RST,RST,"","","",2351
400105,ANTHONY,"",ROBINSON,ANTHONY ROBINSON,ANTHONY.ROBINSON@WORKMAIL.COM,HR,HR,19850523,20150621,20250301,TERMINATION_REASON_CODE,Manager,3,400028,DEBRA,"",MEJIA,DEBRA MEJIA,103001,R111,E,Empleados,OPS,OPS Manager,"","","",11838
400106,JOHN,"",SMITH,JOHN SMITH,JOHN.SMITH@WORKMAIL.COM,NI,NI,19640828,20211119,20251207,TERMINATION_REASON_CODE,Manager,1,400034,JAMES,"",ALI,JAMES ALI,103667,R034,E,Empleados,OPS,OPS Manager,"","","",12314
